app_name,app_id,description,topics,category
Expense1,com.benoitletondor.easybudgetapp,let face budget apps complicate design look like come straight look clean easy use app manage money good news easybudget found need list easybudget manage multiple account account need probably get classify expense category nobody get time show chart statistic check balance second go life app simple seriously simple exactly expect budget management oh free,2,['FINANCE']
Expense2,luankevinferreira.expenses,utility application manage personal expense enable well control variable expense like eg market water electricity bill among others,2,['FINANCE']
Expense3,com.kvannli.simonkvannli.dailybudget,daily budget ensures always enough money thing need thing important daily budget let know much money spend easy use overly complicate statistic form fill easy understandable design daily budget app easily control daily spending base income expense create budget intimidate financial benefit huge daily budget easy ever get start follow budget also keep debt help work way debt currently debt take time set create budget one top financial tip financial advisor daily budget also provide save tip help achieve financial goal start enter regular income expense base income expense get daily amount show daily earnings every day daily amount automatically add current balance current balance show much money afford spend time keep track spending easily see within budget daily budget let see much money spent much afford spend every day statistic show spend money let see improve premium upgrade premium include follow ad widget make even easy keep track statistic save tip would love feedback help improve app please leave review send u email directly thank download daily budget,2,['FINANCE']
Expense4,com.blogspot.e_kanivets.moneytracker,want save money know money come app manage income expense two click take report two click follow feature available current version manage expense income create report period manage account different currency transfer money account manage exchange rate currency quick summary chart csv export import dropbox backup open source project open money tracker github developed support xorum io,2,['FINANCE']
Note2,com.moonpi.swiftnotes,note take app focus simplicity speed offer quick easy way stay organize capture thought reminder anything mind time anywhere extra unnecessary feature note feature easily create new note edit exist one colour code note stay organise find note lightning fast search keyword favour note always stay top quick access change font size individual note hide body sensitive note stay safe pry eye backup note external storage restore note need,1,['PRODUCTIVITY']
Note3,me.writeily,minimalist markdown editor android simply elegantly compose note markdown plain text organize folder save access file external storage restrict access pin lock,1,['PRODUCTIVITY']
Note4,chan.android.app.pocketnote,,1,['PRODUCTIVITY']
Shop1,pl.com.andrzejgrzyb.Shop,paper note pocket create shopping list smartphone always application allows create shopping list share family friend via text message e mail,1,['SHOPPING']
Shop2,br.com.activity,simple app manage shopping list create shopping list add produtcs want buy nevertheless keep record price paid purchase product contact vansuita jr gmail com buy coffee,1,['SHOPPING']
Shop3,privacyfriendlyShop.secuso.org.privacyfriendlyShop,privacy friendly shopping list allows create shopping list manage belongs privacy friendly apps group developed research group secuso technische universitt darmstadt information found secuso org pfa create shopping list manage add edit delete list item feature include prioritization list regard importance item setup deadline reminder reminder appear notification visualize shopping activity bar diagram add category store additional note product possibility add product picture photo access privacy friendly shopping list share list product text without requirement special system permission make privacy friendly shopping list different similar apps minimal permission privacy friendly shopping list use permission core function camera permission need take picture particular product permission deny android version high feature available feature disposition full control data save data statistic delete permanently click data life inside privacy friendly shopping list access outside share list product data without access phone contact advertisement privacy friendly shopping list completely relinquishes advertisement,1,['SHOPPING']
