index_m,src_class,src_id,src_text,src_content_desc,src_parent_text,src_sibling_text,src_activity,src_hint,src_neighbor,src_file_name,target_class,target_id,target_text,target_content_desc,target_parent_text,target_sibling_text,target_activity,target_file_name,target_hint,target_neighbor,index,src,target,task,algorithm,word_embedding,descriptors,training_set
8,android.widget.EditText,edit_text,Title,,,,.ui.home.MainActivity,,,,android.widget.EditText,AddListEditText,New List Name,,,,.SimplyDoActivity,,,,1644856278.061452,a22,a24,b2,custom,wm,intersection,android
1,android.widget.EditText,edit_text,Title,,,,.ui.home.MainActivity,,,,android.widget.ImageView,up,,,,,br.com.vansact.AddItemShoppingList,,,,1644856278.061452,a22,a24,b2,custom,wm,intersection,android
2,android.widget.EditText,edit_text,Title,,,,.ui.home.MainActivity,,,,android.widget.ImageView,home,,,,,br.com.vansact.AddItemShoppingList,,,,1644856278.061452,a22,a24,b2,custom,wm,intersection,android
3,android.widget.EditText,edit_text,Title,,,,.ui.home.MainActivity,,,,android.widget.TextView,action_bar_title,grocery,,,,br.com.vansact.AddItemShoppingList,,,,1644856278.061452,a22,a24,b2,custom,wm,intersection,android
4,android.widget.EditText,edit_text,Title,,,,.ui.home.MainActivity,,,,android.widget.TextView,action_done,,Add item,,Search,br.com.vansact.AddItemShoppingList,ic_action_accept,,,1644856278.061452,a22,a24,b2,custom,wm,intersection,android
5,android.widget.EditText,edit_text,Title,,,,.ui.home.MainActivity,,,,android.widget.TextView,search,,Search,,Add item,br.com.vansact.AddItemShoppingList,ic_action,,,1644856278.061452,a22,a24,b2,custom,wm,intersection,android
6,android.widget.EditText,edit_text,Title,,,,.ui.home.MainActivity,,,,android.widget.ImageButton,,,More options,,Add item,br.com.vansact.AddItemShoppingList,,,,1644856278.061452,a22,a24,b2,custom,wm,intersection,android
7,android.widget.EditText,edit_text,Title,,,,.ui.home.MainActivity,,,,android.view.ViewGroup,action_bar,,,,,br.com.vansact.AddItemShoppingList,,,,1644856278.061452,a22,a24,b2,custom,wm,intersection,android
0,android.widget.EditText,edit_text,Title,,,,.ui.home.MainActivity,,,,android.widget.EditText,edDescription,Add an item,,,0.00,br.com.vansact.AddItemShoppingList,,,,1644856278.061452,a22,a24,b2,custom,wm,intersection,android
9,android.widget.EditText,edit_text,Title,,,,.ui.home.MainActivity,,,,android.widget.EditText,edQuantity,0.00,,,Add an item,br.com.vansact.AddItemShoppingList,,,,1644856278.061452,a22,a24,b2,custom,wm,intersection,android
10,android.widget.EditText,edit_text,Title,,,,.ui.home.MainActivity,,,,android.widget.EditText,edUnitValue,US$ 0.00,,,Add an item,br.com.vansact.AddItemShoppingList,,,,1644856278.061452,a22,a24,b2,custom,wm,intersection,android
11,android.widget.EditText,edit_text,Title,,,,.ui.home.MainActivity,,,,android.widget.TextView,header_description_collumn,No item was added,,,,br.com.vansact.AddItemShoppingList,,,,1644856278.061452,a22,a24,b2,custom,wm,intersection,android
12,android.widget.EditText,edit_text,Title,,,,.ui.home.MainActivity,,,,android.widget.TableLayout,,,,,,br.com.vansact.AddItemShoppingList,,,,1644856278.061452,a22,a24,b2,custom,wm,intersection,android
13,android.widget.EditText,edit_text,Title,,,,.ui.home.MainActivity,,,,android.widget.TableRow,,,,,,br.com.vansact.AddItemShoppingList,,,,1644856278.061452,a22,a24,b2,custom,wm,intersection,android
8,android.widget.EditText,edit_text,Title,,,,.ui.home.MainActivity,,,,android.widget.EditText,AddListEditText,New List Name,,,,.SimplyDoActivity,,,,1644856927.140519,a22,a24,b2,custom,wm,intersection,android
1,android.widget.EditText,edit_text,Title,,,,.ui.home.MainActivity,,,,android.widget.ImageView,up,,,,,br.com.vansact.AddItemShoppingList,,,,1644856927.140519,a22,a24,b2,custom,wm,intersection,android
2,android.widget.EditText,edit_text,Title,,,,.ui.home.MainActivity,,,,android.widget.ImageView,home,,,,,br.com.vansact.AddItemShoppingList,,,,1644856927.140519,a22,a24,b2,custom,wm,intersection,android
3,android.widget.EditText,edit_text,Title,,,,.ui.home.MainActivity,,,,android.widget.TextView,action_bar_title,grocery,,,,br.com.vansact.AddItemShoppingList,,,,1644856927.140519,a22,a24,b2,custom,wm,intersection,android
4,android.widget.EditText,edit_text,Title,,,,.ui.home.MainActivity,,,,android.widget.TextView,action_done,,Add item,,Search,br.com.vansact.AddItemShoppingList,ic_action_accept,,,1644856927.140519,a22,a24,b2,custom,wm,intersection,android
5,android.widget.EditText,edit_text,Title,,,,.ui.home.MainActivity,,,,android.widget.TextView,search,,Search,,Add item,br.com.vansact.AddItemShoppingList,ic_action,,,1644856927.140519,a22,a24,b2,custom,wm,intersection,android
6,android.widget.EditText,edit_text,Title,,,,.ui.home.MainActivity,,,,android.widget.ImageButton,,,More options,,Add item,br.com.vansact.AddItemShoppingList,,,,1644856927.140519,a22,a24,b2,custom,wm,intersection,android
7,android.widget.EditText,edit_text,Title,,,,.ui.home.MainActivity,,,,android.view.ViewGroup,action_bar,,,,,br.com.vansact.AddItemShoppingList,,,,1644856927.140519,a22,a24,b2,custom,wm,intersection,android
0,android.widget.EditText,edit_text,Title,,,,.ui.home.MainActivity,,,,android.widget.EditText,edDescription,Add an item,,,0.00,br.com.vansact.AddItemShoppingList,,,,1644856927.140519,a22,a24,b2,custom,wm,intersection,android
