train_set,embedding,algorithm,count,mean,std,min,25%,50%,75%,max
android,fast,atm,44.0,0.625909090909091,0.05008449520180325,0.55,0.58,0.59,0.67,0.69
android,fast,craftdroid,44.0,0.7059090909090909,0.013350059980386445,0.69,0.69,0.71,0.71,0.75
android,fast,custom,44.0,0.7429545454545454,0.018499471451223427,0.72,0.73,0.73,0.77,0.77
android,glove,atm,44.0,0.6618181818181817,0.061162107408622275,0.52,0.58,0.69,0.7,0.76
android,glove,craftdroid,44.0,0.5077272727272727,0.048793043555057626,0.24,0.5,0.53,0.53,0.53
android,glove,custom,44.0,0.4406818181818183,0.061696848031989875,0.33,0.4,0.41,0.53,0.53
android,w2v,atm,44.0,0.5793181818181817,0.08489111294524564,0.49,0.5,0.565,0.58,0.74
android,w2v,craftdroid,44.0,0.6934090909090908,0.03821257444436269,0.61,0.665,0.685,0.7324999999999999,0.74
android,w2v,custom,44.0,0.7336363636363635,0.012025343217247509,0.72,0.72,0.73,0.75,0.75
android,wm,atm,44.0,0.24000000000000002,2.8076459982421986e-17,0.24,0.24,0.24,0.24,0.24
android,wm,craftdroid,44.0,0.23681818181818184,0.004711552981879435,0.23,0.23,0.24,0.24,0.24
android,wm,custom,44.0,0.2513636363636364,0.00904534033733291,0.24,0.25,0.25,0.26,0.29
blogs,fast,atm,44.0,0.6752272727272728,0.15668793806983053,0.53,0.565,0.57,0.88,0.94
blogs,fast,craftdroid,44.0,0.6529545454545455,0.016785866903307696,0.63,0.64,0.64,0.66,0.68
blogs,fast,custom,44.0,0.7268181818181818,0.005181688363048747,0.71,0.72,0.73,0.73,0.73
blogs,glove,atm,44.0,0.7838636363636364,0.1223836117067,0.5,0.66,0.81,0.81,0.99
blogs,glove,craftdroid,44.0,0.5475000000000001,0.06477600043656709,0.24,0.54,0.55,0.6,0.63
blogs,glove,custom,44.0,0.5774999999999999,0.05198948909870327,0.5,0.52,0.58,0.63,0.63
blogs,w2v,atm,44.0,0.5747727272727272,0.0908484205584797,0.53,0.53,0.54,0.58,0.94
